"MAPPING — MASTER DATA (Model, Brand, Size, HS Code da co san)",,,,,,,,,
"  Day la MASTER DATA chinh: VBA doc Size/HS Code/Ma noi bo TRUC TIEP tu day theo key MODEL+BRAND.
  Neu mot Model+Brand MOI chua co trong danh sach, VBA se TU TINH du phong va canh bao ban bo sung.
  CHI THEM DONG MOI khi co Model+Brand thuc su chua ton tai (khong sua Size/HS Code cua dong co san tru khi chac chan).",,,,,,,,,
#,MODEL,BRAND,DESCRIPTION (English),INTERNAL CODE,SIZE (CM),HS CODE,TEN HANG (VN),SO LO,PCS/CTN
141,RECMF-81170,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81170,CR.BR.117.TA,297.2,401039,TAKA r?ng B117,,25
142,RECMF-81180,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81180,CR.BR.118.TA,299.7,401039,TAKA r?ng B118,,25
143,RECMF-81190,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81190,CR.BR.119.TA,302.3,401039,TAKA r?ng B119,,25
144,RECMF-81200,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-81200,CR.BR.120.TA,304.8,401039,TAKA r?ng B120,,25
145,RECMF-8250,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-8250,CR.BR.025.TA,63.5,401032,TAKA r?ng B25,,120
146,RECMF-8260,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-8260,CR.BR.026.TA,66,401032,TAKA r?ng B26,,120
147,RECMF-8270,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-8270,CR.BR.027.TA,68.6,401032,TAKA r?ng B27,,120
148,RECMF-8280,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-8280,CR.BR.028.TA,71.1,401032,TAKA r?ng B28,,120
149,RECMF-8290,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-8290,CR.BR.029.TA,73.7,401032,TAKA r?ng B29,,120
150,RECMF-8300,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-8300,CR.BR.030.TA,76.2,401032,TAKA r?ng B30,,100
151,RECMF-8310,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-8310,CR.BR.031.TA,78.7,401032,TAKA r?ng B31,,100
152,RECMF-8320,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-8320,CR.BR.032.TA,81.3,401032,TAKA r?ng B32,,100
